Sat Dec 19 10:25:51 2020    c:\Users\Barnaby\repos\OO-Scoping-IPC\profiling\time_profiles/minecraft2/minecraft-contrived2//minecraft2/prob_irrel_nether_with_pick

         77423443 function calls (77206082 primitive calls) in 25.743 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13064    0.007    0.000    0.439    0.000 z3.py:1037(<listcomp>)
   251847    0.227    0.000    0.403    0.000 z3core.py:2777(Z3_get_app_num_args)
        1    0.000    0.000    0.390    0.390 PDDLz3.py:48(get_skills)
  1344777    0.294    0.000    0.381    0.000 z3.py:412(is_ast)
        1    0.000    0.000    0.380    0.380 PDDLz3.py:36(str_grounded_actions2skills)
   138488    0.047    0.000    0.342    0.000 z3.py:519(kind)
    42696    0.044    0.000    0.334    0.000 z3.py:2942(IntSort)
  4242886    0.326    0.000    0.326    0.000 {built-in method builtins.isinstance}
  5353445    0.307    0.000    0.307    0.000 z3types.py:39(from_param)
    35680    0.032    0.000    0.305    0.000 z3.py:677(name)
   138488    0.064    0.000    0.295    0.000 z3.py:508(_sort_kind)
   138502    0.174    0.000    0.273    0.000 z3core.py:2782(Z3_get_app_arg)
    29907    0.023    0.000    0.264    0.000 z3printer.py:509(__call__)
  2936810    0.250    0.000    0.250    0.000 z3.py:903(as_ast)
70319/29907    0.057    0.000    0.241    0.000 z3printer.py:493(pp)
    77021    0.027    0.000    0.216    0.000 z3.py:2131(is_real)
    35680    0.034    0.000    0.203    0.000 z3.py:116(_symbol2py)
    22154    0.025    0.000    0.177    0.000 z3.py:1553(BoolSort)
    61467    0.022    0.000    0.176    0.000 z3.py:2145(is_int)
        1    0.001    0.001    0.155    0.155 PDDLz3.py:77(<listcomp>)
4310/1473    0.004    0.000    0.150    0.000 z3printer.py:474(pp_choice)
       86    0.001    0.000    0.146    0.002 PDDLz3.py:254(action2effect_types)
   486045    0.102    0.000    0.138    0.000 z3.py:1135(is_expr)
    60926    0.088    0.000    0.134    0.000 z3core.py:1722(Z3_mk_eq)
     2565    0.006    0.000    0.130    0.000 z3printer.py:429(seq1)
    42148    0.067    0.000    0.129    0.000 z3core.py:2192(Z3_mk_numeral)
8772/1473    0.008    0.000    0.125    0.000 z3printer.py:470(pp_compose)
     6207    0.004    0.000    0.122    0.000 z3printer.py:404(group)
  1888116    0.122    0.000    0.122    0.000 z3types.py:31(from_param)
25359/6207    0.015    0.000    0.111    0.000 z3printer.py:331(flat)
    35680    0.050    0.000    0.106    0.000 z3core.py:2542(Z3_get_symbol_string)
  1206610    0.101    0.000    0.101    0.000 z3.py:56(z3_debug)
    52719    0.049    0.000    0.100    0.000 z3printer.py:460(pp_string)
  1174358    0.096    0.000    0.096    0.000 z3.py:231(_get_ctx)
