Mon Dec 28 18:55:40 2020    c:\Users\Barnaby\repos\OO-Scoping-IPC\profiling\time_profiles/minecraft2/minecraft-contrived2//minecraft2/prob_irrel_nether_with_pick_nonverbose

         27411954 function calls (27249944 primitive calls) in 34.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    36361    0.171    0.000    0.700    0.000 z3.py:116(_symbol2py)
   119695    0.465    0.000    0.696    0.000 z3core.py:2772(Z3_get_app_decl)
   119512    0.466    0.000    0.693    0.000 z3core.py:2692(Z3_get_decl_kind)
    59448    0.076    0.000    0.628    0.000 z3.py:2131(is_real)
      181    0.004    0.000    0.624    0.003 utils.py:382(get_unique_z3_vars_unsorted)
     1062    0.004    0.000    0.603    0.001 scoping.py:31(<listcomp>)
     6403    0.042    0.000    0.602    0.000 z3.py:1392(cast)
        1    0.002    0.002    0.599    0.599 PDDLz3.py:77(<listcomp>)
    93666    0.358    0.000    0.538    0.000 z3core.py:2777(Z3_get_app_num_args)
       86    0.003    0.000    0.511    0.006 PDDLz3.py:254(action2effect_types)
  5134114    0.500    0.000    0.500    0.000 z3types.py:19(from_param)
4310/1473    0.013    0.000    0.490    0.000 z3printer.py:474(pp_choice)
     5638    0.050    0.000    0.455    0.000 z3.py:2989(IntVal)
     5292    0.014    0.000    0.444    0.000 z3.py:2930(_py2expr)
    13620    0.065    0.000    0.435    0.000 z3.py:1426(sort)
8772/1473    0.041    0.000    0.411    0.000 z3printer.py:470(pp_compose)
     2565    0.026    0.000    0.392    0.000 z3printer.py:429(seq1)
     6207    0.017    0.000    0.384    0.000 z3printer.py:404(group)
  2815637    0.378    0.000    0.378    0.000 z3.py:196(ref)
      181    0.000    0.000    0.377    0.002 utils.py:403(sort_z3_vars)
      758    0.001    0.000    0.376    0.000 utils.py:404(<lambda>)
    34975    0.046    0.000    0.375    0.000 z3.py:2145(is_int)
25359/6207    0.062    0.000    0.352    0.000 z3printer.py:331(flat)
    47403    0.226    0.000    0.318    0.000 z3core.py:2787(Z3_is_eq_ast)
    36361    0.190    0.000    0.308    0.000 z3core.py:2542(Z3_get_symbol_string)
25359/6207    0.101    0.000    0.307    0.000 z3printer.py:332(<listcomp>)
    30558    0.071    0.000    0.259    0.000 z3.py:2554(_is_numeral)
       91    0.003    0.000    0.252    0.003 utils.py:121(simplify_disjunction)
7014/2565    0.017    0.000    0.250    0.000 z3printer.py:355(flat)
      207    0.000    0.000    0.240    0.001 PDDLz3.py:262(<listcomp>)
      207    0.002    0.000    0.240    0.001 PDDLz3.py:111(z3_identical)
    53400    0.170    0.000    0.240    0.000 z3printer.py:460(pp_string)
    77282    0.017    0.000    0.229    0.000 {method 'get' of 'dict' objects}
     4734    0.007    0.000    0.213    0.000 z3printer.py:341(flat)
    36361    0.141    0.000    0.211    0.000 z3core.py:2687(Z3_get_decl_name)
    36361    0.142    0.000    0.211    0.000 z3core.py:2532(Z3_get_symbol_kind)
    32840    0.141    0.000    0.204    0.000 z3core.py:2782(Z3_get_app_arg)
      177    0.001    0.000    0.198    0.001 skill_classes.py:107(params)
     6186    0.029    0.000    0.185    0.000 z3.py:2942(IntSort)
      270    0.005    0.000    0.184    0.001 z3.py:1700(And)
    30558    0.126    0.000    0.184    0.000 z3core.py:2827(Z3_is_numeral_ast)
 1995/733    0.008    0.000    0.183    0.000 PDDLz3.py:163(compile_expression)
      365    0.002    0.000    0.177    0.000 z3.py:1124(_coerce_expr_list)
  1884005    0.173    0.000    0.173    0.000 {built-in method builtins.isinstance}
    34131    0.065    0.000    0.172    0.000 z3printer.py:396(compose)
      322    0.001    0.000    0.171    0.001 z3.py:6604(add)
  1633687    0.167    0.000    0.167    0.000 z3types.py:39(from_param)
      322    0.009    0.000    0.163    0.001 z3.py:6585(assert_exprs)
    61560    0.123    0.000    0.163    0.000 z3printer.py:387(to_format)
       86    0.001    0.000    0.157    0.002 PDDLz3.py:45(action2precondition)
     4310    0.006    0.000    0.155    0.000 z3printer.py:383(fits)
   429949    0.122    0.000    0.155    0.000 z3.py:412(is_ast)
      316    0.005    0.000    0.154    0.000 utils.py:238(solver_implies_condition)
   948332    0.150    0.000    0.150    0.000 z3.py:903(as_ast)
22790/4310    0.107    0.000    0.149    0.000 z3printer.py:323(space_upto_nl)
    10517    0.013    0.000    0.136    0.000 z3.py:949(__hash__)
        3    0.000    0.000    0.134    0.045 utils.py:49(pvars2objects)
        3    0.001    0.000    0.134    0.045 utils.py:158(condition_str2objects)
    10517    0.012    0.000    0.123    0.000 z3.py:329(__hash__)
     3831    0.004    0.000    0.119    0.000 skill_classes.py:45(__hash__)
    40338    0.073    0.000    0.117    0.000 z3printer.py:312(__init__)
     3899    0.019    0.000    0.116    0.000 z3.py:1553(BoolSort)
    15324    0.011    0.000    0.115    0.000 {built-in method builtins.hash}
6919/2470    0.008    0.000    0.115    0.000 z3printer.py:353(space_upto_nl)
    10517    0.034    0.000    0.111    0.000 z3.py:402(hash)
      292    0.001    0.000    0.098    0.000 PDDLz3.py:88(<lambda>)
      365    0.002    0.000    0.098    0.000 z3.py:1133(<listcomp>)
     6207    0.038    0.000    0.095    0.000 z3printer.py:416(seq)
       91    0.001    0.000    0.090    0.001 z3.py:7667(as_expr)
        6    0.000    0.000    0.086    0.014 scoping.py:15(effects2pvars)
       91    0.001    0.000    0.084    0.001 z3.py:5469(as_expr)
      172    0.000    0.000    0.082    0.000 scoping.py:20(<lambda>)
        4    0.000    0.000    0.077    0.019 PDDLz3.py:29(make_str2var_dict)
        8    0.006    0.001    0.077    0.010 PDDLz3.py:9(make_z3_atoms)
      365    0.002    0.000    0.077    0.000 z3.py:1118(_reduce)
      153    0.000    0.000    0.075    0.000 scoping.py:65(<lambda>)
    40328    0.049    0.000    0.068    0.000 z3.py:3737(is_bv_value)
    40328    0.051    0.000    0.067    0.000 z3.py:7360(is_finite_domain_value)
    40328    0.051    0.000    0.066    0.000 z3.py:9226(is_fp_value)
    40328    0.048    0.000    0.066    0.000 z3.py:9089(is_fprm_value)
   340608    0.065    0.000    0.065    0.000 z3.py:231(_get_ctx)
