Sat Jan  9 12:25:39 2021    spedup_fd_profile

         6693505 function calls (6671608 primitive calls) in 3.270 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2104    0.001    0.000    0.050    0.000 z3.py:2604(is_algebraic_value)
        3    0.000    0.000    0.050    0.017 scoping.py:38(get_causal_links)
      684    0.003    0.000    0.050    0.000 z3.py:6585(assert_exprs)
    10708    0.004    0.000    0.049    0.000 z3.py:329(__hash__)
    18546    0.028    0.000    0.047    0.000 z3core.py:2787(Z3_is_eq_ast)
   131719    0.035    0.000    0.047    0.000 z3.py:412(is_ast)
    10708    0.010    0.000    0.045    0.000 z3.py:402(hash)
      681    0.004    0.000    0.043    0.000 z3.py:6671(check)
     3103    0.012    0.000    0.043    0.000 skill_classes.py:42(__init__)
        1    0.006    0.006    0.042    0.042 build_model.py:299(compute_model)
      681    0.003    0.000    0.041    0.000 z3.py:1669(Not)
     1287    0.004    0.000    0.040    0.000 z3.py:2989(IntVal)
      499    0.001    0.000    0.040    0.000 z3.py:5469(as_expr)
14630/14586    0.009    0.000    0.040    0.000 {built-in method builtins.sorted}
     3103    0.004    0.000    0.039    0.000 z3.py:677(name)
      500    0.001    0.000    0.038    0.000 utils.py:39(split_conj)
    10952    0.007    0.000    0.037    0.000 z3.py:719(kind)
        1    0.003    0.003    0.036    0.036 instantiate.py:32(instantiate)
   455372    0.036    0.000    0.036    0.000 z3types.py:39(from_param)
     6328    0.027    0.000    0.035    0.000 {built-in method builtins.print}
   300841    0.034    0.000    0.034    0.000 z3.py:903(as_ast)
     2104    0.002    0.000    0.034    0.000 z3.py:1182(is_const)
     1953    0.003    0.000    0.033    0.000 skill_classes.py:83(move_irrelevant2side_effects)
      670    0.002    0.000    0.032    0.000 actions.py:66(instantiate)
      499    0.001    0.000    0.031    0.000 z3.py:5369(add)
      681    0.030    0.000    0.031    0.000 z3core.py:3827(Z3_solver_check_assumptions)
        1    0.000    0.000    0.030    0.030 translate_and_scope.py:444(translate_task)
     2546    0.004    0.000    0.029    0.000 z3.py:1553(BoolSort)
    10708    0.016    0.000    0.028    0.000 z3core.py:2797(Z3_get_ast_hash)
        3    0.000    0.000    0.028    0.009 scoping.py:23(get_unthreatened_conditions)
      499    0.001    0.000    0.027    0.000 z3.py:5332(assert_exprs)
        1    0.000    0.000    0.027    0.027 translate_and_scope.py:397(translate_strips_operators)
    11951    0.016    0.000    0.027    0.000 z3core.py:2772(Z3_get_app_decl)
     7560    0.005    0.000    0.027    0.000 z3.py:519(kind)
      670    0.001    0.000    0.026    0.000 translate_and_scope.py:182(translate_strips_operator)
     3103    0.004    0.000    0.026    0.000 z3.py:116(_symbol2py)
    10952    0.014    0.000    0.025    0.000 z3core.py:2692(Z3_get_decl_kind)
        1    0.003    0.003    0.022    0.022 writeback_sas.py:15(writeback_scoped_sas)
     7560    0.005    0.000    0.022    0.000 z3.py:508(_sort_kind)
        1    0.000    0.000    0.021    0.021 sas_tasks.py:78(output)
     3530    0.006    0.000    0.020    0.000 build_model.py:98(fire)
      650    0.002    0.000    0.019    0.000 sas_tasks.py:359(output)
     4010    0.007    0.000    0.016    0.000 conditions.py:267(instantiate)
     4182    0.002    0.000    0.016    0.000 z3.py:2131(is_real)
        1    0.000    0.000    0.015    0.015 simplify.py:486(filter_unreachable_propositions)
     1606    0.001    0.000    0.015    0.000 skill_classes.py:19(__eq__)
      670    0.002    0.000    0.015    0.000 conditions.py:131(instantiate)
        1    0.000    0.000    0.015    0.015 fact_groups.py:107(compute_groups)
     3378    0.002    0.000    0.015    0.000 z3.py:2145(is_int)
     1309    0.002    0.000    0.014    0.000 z3.py:2942(IntSort)
     3103    0.006    0.000    0.014    0.000 z3core.py:2542(Z3_get_symbol_string)
     1606    0.002    0.000    0.014    0.000 z3.py:432(eq)
      670    0.005    0.000    0.014    0.000 translate_and_scope.py:216(translate_strips_operator_aux)
      712    0.013    0.000    0.013    0.000 z3core.py:3758(Z3_solver_assert)
      499    0.001    0.000    0.013    0.000 z3.py:7758(__call__)
   113494    0.013    0.000    0.013    0.000 z3.py:56(z3_debug)
   130200    0.013    0.000    0.013    0.000 z3.py:94(_z3_assert)
    61043    0.006    0.000    0.013    0.000 {built-in method builtins.len}
      499    0.002    0.000    0.013    0.000 z3.py:7741(apply)
      681    0.001    0.000    0.012    0.000 z3.py:5304(get)
    29814    0.009    0.000    0.012    0.000 z3.py:1135(is_expr)
      685    0.001    0.000    0.012    0.000 z3.py:6509(push)
       66    0.000    0.000    0.012    0.000 scoping.py:33(<listcomp>)
     2104    0.003    0.000    0.012    0.000 z3printer.py:509(__call__)
     1991    0.001    0.000    0.012    0.000 translate_and_scope.py:169(translate_strips_conditions)
        3    0.000    0.000    0.012    0.004 scoping.py:8(skills2effects)
     3535    0.008    0.000    0.012    0.000 z3core.py:1722(Z3_mk_eq)
      685    0.011    0.000    0.011    0.000 z3core.py:3741(Z3_solver_push)
       59    0.000    0.000    0.011    0.000 scoping.py:92(<lambda>)
        1    0.000    0.000    0.011    0.011 simplify.py:226(apply_to_task)
     1342    0.003    0.000    0.011    0.000 translate_and_scope.py:75(translate_strips_conditions_aux)
    21570    0.006    0.000    0.011    0.000 cp1252.py:18(encode)
   120220    0.011    0.000    0.011    0.000 z3types.py:31(from_param)
        1    0.001    0.001    0.010    0.010 simplify.py:298(apply_to_operators)
     1350    0.000    0.000    0.010    0.000 {built-in method builtins.next}
     1340    0.001    0.000    0.010    0.000 effects.py:43(instantiate)
      684    0.001    0.000    0.010    0.000 z3.py:6531(pop)
        1    0.008    0.008    0.010    0.010 scoping_sas_parser.py:52(make_str_grounded_actions)
        1    0.007    0.007    0.010    0.010 {method 'writelines' of '_io._IOBase' objects}
        3    0.000    0.000    0.010    0.003 scoping.py:16(effects2pvars)
     1937    0.002    0.000    0.010    0.000 PDDLz3.py:228(<listcomp>)
    79892    0.009    0.000    0.010    0.000 z3.py:231(_get_ctx)
      650    0.002    0.000    0.009    0.000 simplify.py:328(translate_operator)
     2104    0.002    0.000    0.009    0.000 z3printer.py:493(pp)
     1340    0.002    0.000    0.009    0.000 effects.py:55(_instantiate)
      684    0.008    0.000    0.009    0.000 z3core.py:3745(Z3_solver_pop)
       48    0.000    0.000    0.009    0.000 timers.py:22(timing)
    11005    0.007    0.000    0.009    0.000 conditions.py:223(__init__)
        8    0.009    0.001    0.009    0.001 {built-in method io.open}
     4211    0.007    0.000    0.008    0.000 build_model.py:54(prepare_effect)
      499    0.007    0.000    0.008    0.000 z3core.py:3643(Z3_tactic_apply)
      998    0.003    0.000    0.008    0.000 z3.py:5197(__init__)
      499    0.003    0.000    0.008    0.000 z3.py:7703(__init__)
        3    0.000    0.000    0.008    0.003 scoping.py:29(<listcomp>)
    28681    0.006    0.000    0.008    0.000 {method 'get' of 'dict' objects}
     3103    0.004    0.000    0.007    0.000 z3core.py:2687(Z3_get_decl_name)
     3103    0.004    0.000    0.007    0.000 z3core.py:2532(Z3_get_symbol_kind)
      499    0.001    0.000    0.007    0.000 z3.py:7642(__getitem__)
     2091    0.001    0.000    0.007    0.000 z3.py:2554(_is_numeral)
