Tue Dec 29 16:04:32 2020    c:\Users\Barnaby\repos\OO-Scoping-IPC\profiling\time_profiles/minecraft3/minecraft-contrived3//minecraft3/prob_scoping_sanity_check_nonverbose

         26445658 function calls (26146190 primitive calls) in 8.891 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
53289/9196    0.038    0.000    0.200    0.000 z3printer.py:332(<listcomp>)
   120850    0.117    0.000    0.199    0.000 z3core.py:2692(Z3_get_decl_kind)
   120999    0.114    0.000    0.198    0.000 z3core.py:2772(Z3_get_app_decl)
    67677    0.023    0.000    0.186    0.000 z3.py:2131(is_real)
6396/5666    0.008    0.000    0.183    0.000 z3.py:2163(cast)
  2541029    0.183    0.000    0.183    0.000 z3.py:196(ref)
18673/5211    0.010    0.000    0.180    0.000 z3printer.py:355(flat)
  2115423    0.156    0.000    0.156    0.000 {built-in method builtins.isinstance}
     7930    0.003    0.000    0.155    0.000 z3printer.py:341(flat)
    94574    0.087    0.000    0.152    0.000 z3core.py:2777(Z3_get_app_num_args)
     5874    0.007    0.000    0.142    0.000 z3.py:1256(is_app_of)
    67696    0.042    0.000    0.141    0.000 z3printer.py:396(compose)
      135    0.000    0.000    0.139    0.001 PDDLz3.py:45(action2precondition)
    68991    0.060    0.000    0.125    0.000 z3printer.py:460(pp_string)
    15110    0.022    0.000    0.120    0.000 z3.py:366(eq)
    41174    0.054    0.000    0.119    0.000 z3core.py:2542(Z3_get_symbol_string)
    36931    0.014    0.000    0.109    0.000 z3.py:2145(is_int)
     8451    0.006    0.000    0.106    0.000 z3.py:1088(_coerce_expr_merge)
      443    0.000    0.000    0.106    0.000 PDDLz3.py:262(<listcomp>)
      348    0.001    0.000    0.105    0.000 PDDLz3.py:111(z3_identical)
    76892    0.047    0.000    0.105    0.000 z3printer.py:312(__init__)
        1    0.000    0.000    0.103    0.103 PDDLz3.py:62(get_init_cond_list)
   392418    0.071    0.000    0.097    0.000 z3.py:412(is_ast)
     6396    0.002    0.000    0.096    0.000 z3printer.py:383(fits)
    81257    0.059    0.000    0.096    0.000 z3printer.py:387(to_format)
4083/1702    0.005    0.000    0.095    0.000 PDDLz3.py:163(compile_expression)
49744/6396    0.041    0.000    0.094    0.000 z3printer.py:323(space_upto_nl)
  1433986    0.087    0.000    0.087    0.000 z3types.py:39(from_param)
     3823    0.006    0.000    0.086    0.000 z3.py:1392(cast)
      285    0.001    0.000    0.085    0.000 z3.py:1700(And)
    35346    0.017    0.000    0.084    0.000 z3.py:2554(_is_numeral)
      363    0.000    0.000    0.081    0.000 z3.py:1124(_coerce_expr_list)
   866373    0.078    0.000    0.078    0.000 z3.py:903(as_ast)
18520/5058    0.005    0.000    0.078    0.000 z3printer.py:353(space_upto_nl)
    99576    0.015    0.000    0.073    0.000 {method 'get' of 'dict' objects}
    41174    0.040    0.000    0.068    0.000 z3core.py:2687(Z3_get_decl_name)
      365    0.002    0.000    0.067    0.000 z3.py:1268(If)
    41174    0.038    0.000    0.065    0.000 z3core.py:2532(Z3_get_symbol_kind)
    35346    0.039    0.000    0.064    0.000 z3core.py:2827(Z3_is_numeral_ast)
     9196    0.021    0.000    0.060    0.000 z3printer.py:416(seq)
    78187    0.041    0.000    0.060    0.000 z3printer.py:410(_len)
