,avg,std,cv
scope,0.3305802345275879,0.002812303730355353,0.008507174466659342
plan_unscoped,0.0031348864237467446,0.00010543125488220887,0.033631602753952355
plan_scoped,0.002252976099650065,5.497827664005932e-05,0.024402512147642674
