Thu Dec 17 14:24:39 2020    time_profiles/minecraft_old

         103193809 function calls (102946142 primitive calls) in 33.612 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  5463123    0.416    0.000    0.416    0.000 {built-in method builtins.isinstance}
   162472    0.056    0.000    0.407    0.000 z3.py:519(kind)
  7262793    0.398    0.000    0.398    0.000 z3types.py:39(from_param)
        1    0.000    0.000    0.389    0.389 PDDLz3.py:48(get_skills)
        1    0.000    0.000    0.380    0.380 PDDLz3.py:36(str_grounded_actions2skills)
   191478    0.238    0.000    0.368    0.000 z3core.py:2782(Z3_get_app_arg)
   162472    0.080    0.000    0.351    0.000 z3.py:508(_sort_kind)
  3949854    0.333    0.000    0.333    0.000 z3.py:903(as_ast)
    35471    0.030    0.000    0.303    0.000 z3.py:677(name)
    29698    0.023    0.000    0.263    0.000 z3printer.py:509(__call__)
    32256    0.035    0.000    0.252    0.000 z3.py:1553(BoolSort)
    86715    0.032    0.000    0.248    0.000 z3.py:2131(is_real)
70110/29698    0.057    0.000    0.240    0.000 z3printer.py:493(pp)
    75757    0.028    0.000    0.219    0.000 z3.py:2145(is_int)
    35471    0.034    0.000    0.203    0.000 z3.py:116(_symbol2py)
   688990    0.144    0.000    0.193    0.000 z3.py:1135(is_expr)
    87414    0.127    0.000    0.192    0.000 z3core.py:1722(Z3_mk_eq)
    62352    0.097    0.000    0.185    0.000 z3core.py:2192(Z3_mk_numeral)
        1    0.001    0.001    0.163    0.163 PDDLz3.py:77(<listcomp>)
  2607438    0.159    0.000    0.159    0.000 z3types.py:31(from_param)
4310/1473    0.004    0.000    0.149    0.000 z3printer.py:474(pp_choice)
       86    0.001    0.000    0.146    0.002 PDDLz3.py:254(action2effect_types)
  1657631    0.133    0.000    0.133    0.000 z3.py:56(z3_debug)
  1609942    0.130    0.000    0.130    0.000 z3.py:231(_get_ctx)
     2565    0.006    0.000    0.126    0.000 z3printer.py:429(seq1)
8772/1473    0.008    0.000    0.124    0.000 z3printer.py:470(pp_compose)
  1805477    0.121    0.000    0.121    0.000 z3.py:94(_z3_assert)
     6207    0.004    0.000    0.119    0.000 z3printer.py:404(group)
25359/6207    0.014    0.000    0.108    0.000 z3printer.py:331(flat)
    35471    0.047    0.000    0.105    0.000 z3core.py:2542(Z3_get_symbol_string)
    52510    0.048    0.000    0.100    0.000 z3printer.py:460(pp_string)
      181    0.000    0.000    0.096    0.001 utils.py:387(sort_z3_vars)
      734    0.000    0.000    0.095    0.000 utils.py:388(<lambda>)
    62900    0.052    0.000    0.092    0.000 z3core.py:1602(Z3_mk_int_sort)
